"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"pl_run_df_silver_to_gold_credit_summary","10/31/2025, 2:49:08 PM","10/31/2025, 2:52:39 PM","3m 31s","Manual trigger","Succeeded","","Original","","[]","0f7942bd-ee6d-457b-ba87-926ec1ab5ebf"
"pl_run_df_silver_to_gold_credit_summary","10/31/2025, 1:58:27 PM","10/31/2025, 2:02:02 PM","3m 35s","Manual trigger","Succeeded","","Original","","[]","6d296849-d14b-427b-81dc-d9c39d2cf979"
"pl_run_df_silver_to_gold_credit_summary","10/31/2025, 1:42:53 PM","10/31/2025, 1:48:29 PM","5m 37s","Manual trigger","Succeeded","","Original","","[]","5e0fed11-e791-432e-8fef-cb69bd2ace47"
"pl_run_df_silver_to_gold_credit_summary","10/31/2025, 1:35:49 PM","10/31/2025, 1:39:20 PM","3m 31s","Manual trigger","Failed","Operation on target run_silver_to_gold_credit_summary failed: {""StatusCode"":""DFExecutorUserError"",""Message"":""Job failed due to reason: at Sink 'sinkGoldCreditSummary': Operation failed: \""The specified filesystem does not exist.\"", 404, HEAD, https://nancyadls01.dfs.core.windows.net/gold/?upn=false&action=getAccessControl&timeout=90"",""Details"":""java.io.FileNotFoundException: Operation failed: \""The specified filesystem does not exist.\"", 404, HEAD, https://nancyadls01.dfs.core.windows.net/gold/?upn=false&action=getAccessControl&timeout=90\n\tat org.apache.hadoop.fs.azurebfs.AzureBlobFileSystem.checkException(AzureBlobFileSystem.java:1436)\n\tat org.apache.hadoop.fs.azurebfs.AzureBlobFileSystem.mkdirs(AzureBlobFileSystem.java:609)\n\tat org.apache.hadoop.fs.FileSystem.mkdirs(FileSystem.java:2388)\n\tat org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter.setupJob(FileOutputCommitter.java:384)\n\tat org.apache.spark.internal.io.HadoopMapReduceCommitProtocol.setupJob(HadoopMapReduceCommitProtocol.scala:229)\n\tat org.apache.spark.sql.execution.datasources.FileFormatWriter$.writeAndCommit(FileFormatWriter.scala:307)\n\tat org.apache.spark.sql.execution.datasources.FileFormatWriter$.executeWrite(FileFormatWriter.scala:351)\n\tat org.apache.spark.sql.execution.datasources.FileFormatWriter$.write(FileFormatWriter.scala:217)\n\tat org.apache.spark.sql.execution.datasourc""}","Original","","[]","b96480c5-b2ed-471e-8634-addf7e6603cb"
"pl_run_df_bronze_to_silver","10/29/2025, 8:00:53 PM","10/29/2025, 8:04:34 PM","3m 42s","Manual trigger","Succeeded","","Original","","[]","563a845e-ce2c-456c-ba0e-35a78e582faa"
"pl_run_df_bronze_to_silver","10/29/2025, 7:43:22 PM","10/29/2025, 7:46:48 PM","3m 26s","Manual trigger","Succeeded","","Original","","[]","82223790-87d6-4a34-9e70-e595920199e7"
"pl_run_df_bronze_to_silver","10/29/2025, 7:23:28 PM","10/29/2025, 7:27:02 PM","3m 34s","Manual trigger","Succeeded","","Original","","[]","b350ff75-4004-47d0-860b-c42778635d92"
"pl_run_df_bronze_to_silver","10/29/2025, 7:07:57 PM","10/29/2025, 7:11:28 PM","3m 32s","Manual trigger","Succeeded","","Original","","[]","c70004a9-f34e-4fc7-bf7e-a67497d3ee92"
"pl_run_df_bronze_to_silver","10/29/2025, 7:06:57 PM","10/29/2025, 7:10:39 PM","3m 42s","Manual trigger","Succeeded","","Original","","[]","0d84591a-574c-40d8-89f6-7dac86f29cee"
